date,SourceCommonName,DocumentIdentifier,V2Tone,V2Themes,AllNames,V2Organizations,V2Locations
20200611164500,shape.com,https://www.shape.com/syndication/everlane-bike-shorts,"3.94736842105263,3.94736842105263,0,3.94736842105263,27.6315789473684,5.26315789473684,68","UNGP_FORESTS_RIVERS_OCEANS,125;","Perform Bike Shorts,102",,
20201130161500,openpr.com,https://www.openpr.com/news/2198907/nightdress-market-2020-swot-analysis-by-players-everlane-le,"3.44827586206897,3.44827586206897,0,3.44827586206897,22.4137931034483,0,72","GEN_HOLIDAY,537;TAX_FNCACT_MANUFACTURER,410;","Luxury Nightdress,39;North America,89;Southeast Asia,132;Calvin Klein,519;Ralph Lauren,539;David Jones,558;Mimi Holiday,620",,1#India#IN#IN##20#77#IN#135;1#Japan#JA#JA##36#138#JA#127;1#America#US#US##39.828175#-98.5795#US#85;1#China#CH#CH##35#105#CH#93
20191004183000,vancouversun.com,https://vancouversun.com/life/fashion-beauty/the-it-list-everlane-at-nordstrom,"3.67647058823529,4.41176470588235,0.735294117647059,5.14705882352941,18.75,1.47058823529412,233","TAX_ECON_PRICE,1415;TAX_FNCACT_RETAILER,1502;TRANSPARENCY,321;TAX_ETHNICITY_CANADIAN,433;EXTREMISM,308;UNGP_FORESTS_RIVERS_OCEANS,1000;","San Francisco-headquartered,240;Nordstrom Pacific Centre,598;Creative Projects,886;Cotton Box-Cut Pocket Tee,1576","Instagram,156;Canada At Toronto Eaton Centre,1402;Nordstrom,35;Nordstrom,537;Nordstrom,777;Nordstrom,1514;Nordstrom,1526;Nordstrom Pacific Centre,552","4#Vancouver, British Columbia, Canada#CA#CA02#12552#49.25#-123.133#-575268#1318;1#Canadian#CA#CA##60#-96#CA#433"
20201120024500,clichemag.com,https://www.clichemag.com/fashion/winter-is-coming-how-to-prepare-through-fashion/,"1.71673819742489,3.6480686695279,1.931330472103,5.5793991416309,27.2532188841202,1.50214592274678,412","SOC_QUARANTINE,87;SOC_QUARANTINE,1164;WB_1609_FOOD_AND_IN_KIND_TRANSFERS,1720;WB_1620_ELDERLY,1720;WB_1466_SOCIAL_ASSISTANCE,1720;WB_1618_FOOD_DISTRIBUTION,1720;WB_697_SOCIAL_PROTECTION_AND_LABOR,1720;TAX_FNCACT_WOMAN,1088;TAX_FNCACT_WOMAN,2150;","North Face,982;All Birds,998;Everlane Terry,1488;Emma Chamberlain,1703;Harry Styles,1720",,
20200713214500,chron.com,https://www.chron.com/shopping/article/Everlane-face-masks-5-donate-charity-aclu-15405295.php,"4.41176470588235,5.51470588235294,1.10294117647059,6.61764705882353,24.2647058823529,2.57352941176471,229","TAX_FNCACT_VOLUNTEER,315;TAX_WORLDMAMMALS_HUMAN,754;TAX_WORLDMAMMALS_HUMAN,835;MEDICAL,1186;CRISISLEX_C03_WELLBEING_HEALTH,1186;CRISISLEX_CRISISLEXREC,126;CRISISLEX_CRISISLEXREC,290;GENERAL_HEALTH,202;HEALTH_PANDEMIC,202;WB_635_PUBLIC_HEALTH,202;WB_2165_HEALTH_EMERGENCIES,202;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,202;WB_621_HEALTH_NUTRITION_AND_POPULATION,202;WB_2167_PANDEMICS,202;UNGP_HEALTHCARE,202;SLFID_CIVIL_LIBERTIES,613;TAX_ETHNICITY_AMERICAN,597;TAX_ETHNICITY_BLACK,994;","American Civil Liberties Union,844;Human Tie-Dye Face Mask,1004","American Civil Liberties Union,619",1#American#US#US##39.828175#-98.5795#US#597
20200727150000,prdaily.com,https://www.prdaily.com/mcdonalds-to-require-masks-everlane-addresses-claims-of-racism-and-toxic-culture-and-microsoft-teams-up-with-nba-on-virtual-fan-experience/,"2.30680507497117,3.92156862745098,1.61476355247982,5.5363321799308,21.8569780853518,2.479815455594,1509",,"Red Robin,299;Red Robin,490;Michelob Ultra,2821;National Basketball League,2856;Microsoft Teams Together,3063;Satya Nadella,3232;Microsoft Team,3599;Turner Sports,4006;United States,5537;Crisis Leadership Board,5768;New York Times,6126;Brand Storytelling During,7928;Crisis Virtual Conference,7956;Con Edison,8119;Minnesota Timberwolves,8173;Marriott International,8214;Girl Scouts,8231;United States,8252;Cleveland Clinic,8274;Oprah Magazine,8330;Hearst Magazines,8455;Hearst Magazines,8701;Hollywood Reporter,8747;Oprah Magazine,8906","Google,7718;Walmart,1513;Walmart,1631;National Basketball League,2666;Microsoft Team Together Mode,3368;Espn,3744;Experian,7729;United States,5198;United States,7824;United States,8314;Microsoft,2616;Microsoft,2858;Microsoft,3349;New York Times,5790;Red Robin,89;Red Robin,250;Red Robin,409;Marriott International,7789;Minnesota Timberwolves,7754;Mcdonald,704;Mcdonald,921","2#New York, United States#US#USNY##42.1497#-74.9384#NY#5784;1#Americans#US#US##39.828175#-98.5795#US#4832;3#Hollywood, California, United States#US#USCA#CA037#34.0983#-118.327#1660757#8299;1#United States#US#US##39.828175#-98.5795#US#5198;1#United States#US#US##39.828175#-98.5795#US#7824;1#United States#US#US##39.828175#-98.5795#US#8314"
20200915221500,adweek.com,https://www.adweek.com/brand-marketing/everlanes-ceo-says-internal-culture-is-just-as-important-as-external/,"-2.05479452054795,0.45662100456621,2.51141552511416,2.96803652968037,25.7990867579909,2.96803652968037,392","TAX_FNCACT_CHIEF,1887;DISCRIMINATION,696;DISCRIMINATION_RACE_RACISM,696;UNGP_FREEDOM_FROM_DISCRIMINATION,696;WB_696_PUBLIC_SECTOR_MANAGEMENT,2552;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,2552;WB_723_PUBLIC_ADMINISTRATION,2552;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,2552;WB_2089_ETHICS_AND_CODES_OF_CONDUCT,2552;TAX_FNCACT_LEADERS,1227;TAX_FNCACT_CEO,242;TAX_FNCACT_CEO,1804;TAX_FNCACT_MODERATOR,1766;TAX_FNCACT_FOUNDER,236;TRANSPARENCY,69;TRANSPARENCY,1084;TRANSPARENCY,1623;TAX_FNCACT_EMPLOYEE,1945;EXTREMISM,56;EXTREMISM,1071;GENERAL_HEALTH,405;HEALTH_PANDEMIC,405;WB_635_PUBLIC_HEALTH,405;WB_2165_HEALTH_EMERGENCIES,405;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,405;WB_621_HEALTH_NUTRITION_AND_POPULATION,405;WB_2167_PANDEMICS,405;UNGP_HEALTHCARE,405;WB_1921_PRIVATE_SECTOR_DEVELOPMENT,128;WB_346_COMPETITIVE_INDUSTRIES,128;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,128;WB_1281_MANUFACTURING,128;TAX_MILITARY_TITLE_OFFICER,1905;TAX_FNCACT_OFFICER,1905;TAX_DISEASE_CORONAVIRUS,396;TAX_FNCACT_EMPLOYEES,552;TAX_FNCACT_EMPLOYEES,728;TAX_FNCACT_EMPLOYEES,1599;","New York Times,654;Wives Club,808;Jonathan Mildenhall,1896","Wives Club,768;New York Times,622","2#New York, United States#US#USNY##42.1497#-74.9384#NY#616"
20200713213000,seattlepi.com,https://www.seattlepi.com/news/article/Everlane-face-masks-5-pack-25-charity-donation-15405297.php,"3.98550724637681,5.07246376811594,1.08695652173913,6.15942028985507,21.0144927536232,2.17391304347826,235","GENERAL_HEALTH,320;HEALTH_PANDEMIC,320;WB_635_PUBLIC_HEALTH,320;WB_2165_HEALTH_EMERGENCIES,320;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,320;WB_621_HEALTH_NUTRITION_AND_POPULATION,320;WB_2167_PANDEMICS,320;UNGP_HEALTHCARE,320;TAX_WORLDMAMMALS_HUMAN,769;TAX_WORLDMAMMALS_HUMAN,848;SLFID_CIVIL_LIBERTIES,628;MEDICAL,1218;CRISISLEX_C03_WELLBEING_HEALTH,1218;TAX_FNCACT_CITIZEN,195;TAX_ETHNICITY_BLACK,1014;TAX_ETHNICITY_AMERICAN,612;","American Civil Liberties Union,851;Human Tie-Dye Face Mask,1011","American Civil Liberties Union,634",1#American#US#US##39.828175#-98.5795#US#612
20171123141500,freshplaza.com,http://www.freshplaza.com/article/185410/Freight-Farms-expands-reach-into-Asia-with-new-partnership-with-Everlane,"1.985559566787,4.15162454873646,2.16606498194946,6.31768953068592,19.85559566787,1.26353790613718,498","WB_178_PEST_MANAGEMENT,862;WB_178_PEST_MANAGEMENT,1625;WB_174_CROP_PRODUCTION,862;WB_174_CROP_PRODUCTION,1625;WB_435_AGRICULTURE_AND_FOOD_SECURITY,862;WB_435_AGRICULTURE_AND_FOOD_SECURITY,1625;WB_1949_CLIMATE_SMART_AGRICULTURE,862;WB_1949_CLIMATE_SMART_AGRICULTURE,1625;WB_2914_PESTICIDES,862;WB_2914_PESTICIDES,1625;AGRICULTURE,984;AGRICULTURE,2046;AGRICULTURE,2142;AGRICULTURE,2601;ECON_CURRENCY_EXCHANGE_RATE,193;TAX_WORLDLANGUAGES_AZERBAIJAN,3136;AFFECT,2783;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,1476;WB_1462_WATER_SANITATION_AND_HYGIENE,1476;WB_635_PUBLIC_HEALTH,1476;WB_621_HEALTH_NUTRITION_AND_POPULATION,1476;TAX_ETHNICITY_DUTCH,2163;TAX_WORLDLANGUAGES_DUTCH,2163;TAX_FNCACT_AMBASSADOR,3147;TAX_ETHNICITY_AUSTRALIAN,1974;TAX_FNCACT_EMPLOYEES,1007;TAX_FNCACT_MINISTER,2586;WATER_SECURITY,931;UNGP_CLEAN_WATER_SANITATION,931;GENERAL_HEALTH,915;MEDICAL,915;UNGP_CRIME_VIOLENCE,1015;TAX_FNCACT_CHEF,2312;ECON_WORLDCURRENCIES_EURO,176;TAX_ECON_PRICE,3100;USPEC_POLICY1,2087;EPU_ECONOMY,2087;EPU_ECONOMY_HISTORIC,2087;WB_180_FOOD_SAFETY,2427;WB_1967_AGRICULTURAL_RISK_AND_SECURITY,2427;LEADER,2589;TAX_FNCACT_LEADER,2149;WB_137_WATER,923;WB_137_WATER,1665;WB_137_WATER,2741;GENERAL_GOVERNMENT,507;WB_678_DIGITAL_GOVERNMENT,151;WB_2943_SWITCHES,151;WB_667_ICT_INFRASTRUCTURE,151;WB_672_NETWORK_MANAGEMENT,151;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,151;TAX_FNCACT_WORKERS,589;TAX_FNCACT_WORKERS,762;TAX_FNCACT_WORKERS,1150;TAX_FNCACT_WORKERS,1316;TAX_FNCACT_WORKERS,1502;UNGP_FORESTS_RIVERS_OCEANS,1540;TAX_FNCACT_OFFICIALS,2880;TAX_ETHNICITY_BLACK,665;TAX_ETHNICITY_BLACK,717;TAX_ETHNICITY_BLACK,1071;","North America,68;Leafy Green Machines,448;Black Friday Fund,690;Black Friday,740;Black Friday Fund,1120;Michael Preysman,1232;Freight Farms,1322;Brad McNamara,1773;New Zealand,1933","Everlane Black Friday Fund,677","1#United Kingdom#UK#UK##54#-4#UK#1863;1#Latvia#LG#LG##57#25#LG#2461;1#Thailand#TH#TH##15#100#TH#2538;1#New Zealand#NZ#NZ##-42#174#NZ#1840;1#Australian#AS#AS##-25#135#AS#1974;1#Tunisia#TS#TS##34#9#TS#2266;1#America#US#US##39.828175#-98.5795#US#63;1#Pakistan#PK#PK##30#70#PK#3164;1#Nigeria#NI#NI##10#8#NI#2103;4#Ho Chi Minh City, H? ChíInh, Vietnam, Republic Of#VM#VM20#74101#10.75#106.667#-3730078#488;1#Italy#IT#IT##42.833333#12.833333#IT#2219;1#Mozambique#MZ#MZ##-18.25#35#MZ#3045;1#British#UK#UK##54#-4#UK#2198;1#Dutch#NL#NL##52.5#5.75#NL#2163;4#Shanghai, Shanghai, China#CH#CH23#13243#31.2222#121.458#-1924465#2847;1#Canada#CA#CA##60#-96#CA#2345;1#Canada#CA#CA##60#-96#CA#2620;1#Vietnam#VM#VM##16.166667#107.833333#VM#497;1#Vietnam#VM#VM##16.166667#107.833333#VM#520;1#Vietnam#VM#VM##16.166667#107.833333#VM#873;1#Azerbaijan#AJ#AJ##40.5#47.5#AJ#3136;1#China#CH#CH##35#105#CH#2243;1#China#CH#CH##35#105#CH#2440;1#China#CH#CH##35#105#CH#2649;1#China#CH#CH##35#105#CH#2825;1#China#CH#CH##35#105#CH#2854"
20190925153000,oxfordtimes.co.uk,https://www.oxfordtimes.co.uk/news/national/17926805.meghan-receives-warm-welcome-cape-town-mothers-charity/,"2.77777777777778,2.77777777777778,0,2.77777777777778,16.6666666666667,0,75","LEADER,221;TAX_FNCACT_PRESIDENT,221;USPEC_POLITICS_GENERAL1,221;TAX_FNCACT_CEO,227;TAX_FNCACT_DUCHESS,11;TAX_FNCACT_DUCHESS,151;","Frank Beadle De Palomo,174;Her Royal,298;Everlane Jumpsuit,355",,"4#Sussex, Limpopo, South Africa#SF#SF09#6322#-23.4951#27.2675#-1288462#21;4#Sussex, Limpopo, South Africa#SF#SF09#6322#-23.4951#27.2675#-1288462#161;4#Cape Town, Western Cape, South Africa#SF#SF11#77317#-33.9167#18.4167#-1217214#109;1#South Africa#SF#SF##-30#26#SF#35;1#South Africa#SF#SF##-30#26#SF#123;1#South Africa#SF#SF##-30#26#SF#175;1#South Africa#SF#SF##-30#26#SF#469"
